start	end	text
0	10000	お買い物中の皆様こんにちは 皆様に楽しくお買い物をしていただくためにお願いがございます
10000	18000	新型コロナウイルスは感染者が減ってきているとはいえまだまだ収束したわけではありません
18000	24000	感染が拡大しないようにできるだけマスクの着用をお願いします
24000	31000	ショッピングに夢中になっているとついつい人との距離感を忘れてしまいます
31000	39000	密な状況を作らないようお互いの距離を保ってお買い物してください
39000	44000	各店舗の入り口にはアルコール消毒液が設置されています
44000	52000	お買い物前とお買い物後には手指の消毒にご協力ください
52000	61000	マスクをつけていても人の多い売り場での席やすれ違い様の席は気持ちのいいものではありません
61000	67000	席へつけとを守ってショッピングをお楽しみください
67000	75000	また新しい生活様式を実践するためスタッフ従業員の健康チェック
75000	81000	マスク着用こまめな手洗いうがい消毒の冷凍
81000	84000	店舗内のこまめな換気
84000	88000	ずいしょに消毒用アルコールの設置
88000	97000	密閉、密集、密接を避けるなど各店舗でさまざまな対応をしています
97000	106000	今まで以上に気を引き締めてご自身やご家族、大切な人を守る行動をお願いします
106000	113000	感染拡大を防ぐためには皆さんお一人お一人の協力が必要です
113000	118000	マナーを守って楽しいお買い物を
118000	123000	皆様のご理解、ご協力をお願いいたします
